# Privacy-logging ledger baseline — direct NSLog/print sites under OpenGlasses/Sources
# Generated by Scripts/check-privacy-logging.sh --ledger
# sites  file
   136  OpenGlasses/Sources/App/OpenGlassesApp.swift
    17  OpenGlasses/Sources/Services/BroadcastService.swift
    15  OpenGlasses/Sources/Services/VideoRecordingService.swift
    13  OpenGlasses/Sources/Services/AgentScheduler.swift
    10  OpenGlasses/Sources/Services/WatchConnectivityManager.swift
     9  OpenGlasses/Sources/App/CarPlaySceneDelegate.swift
     8  OpenGlasses/Sources/Services/LiveActivityManager.swift
     7  OpenGlasses/Sources/Services/StoreKitService.swift
     7  OpenGlasses/Sources/Services/AgentNotificationQueue.swift
     4  OpenGlasses/Sources/Services/ShortcutCallbackManager.swift
     4  OpenGlasses/Sources/Services/GlassesConnectionService.swift
     4  OpenGlasses/Sources/App/Views/PersonaPickerSheet.swift
     3  OpenGlasses/Sources/Services/Triggers/MediaTriggerService.swift
     2  OpenGlasses/Sources/Services/WearablesBootstrap.swift
     2  OpenGlasses/Sources/Models/HomeGridCatalog.swift
     1  OpenGlasses/Sources/Services/NativeTools/YieldToHumanTool.swift
     1  OpenGlasses/Sources/Services/NativeTools/ShazamTool.swift
     1  OpenGlasses/Sources/Services/NativeTools/PlaybookTool.swift
     1  OpenGlasses/Sources/Services/GlassesDisplayService.swift
     1  OpenGlasses/Sources/Services/Device/MetaTelemetryBlock.swift
     1  OpenGlasses/Sources/Services/AgentHarness/AgentSessionService.swift
     1  OpenGlasses/Sources/App/Views/OnboardingView.swift
     1  OpenGlasses/Sources/App/Views/BottomControlBar.swift
     1  OpenGlasses/Sources/App/Views/AgenticFeaturesView.swift

# TOTAL 250 sites across 24 files
